"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
2;"R12,R8,R9,R4,R5";"R_0805_2012Metric";5;"R_0805_10K";;;
3;"DS1,DS2";"Adafruit-1001-0-0-MFG";2;"LED_Display_1001";;;
4;"SW3,SW4,SW2,SW1";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
5;"R7";"R_0805_2012Metric";1;"R_0805_100K";;;
6;"C4,C3";"C_0805_2012Metric";2;"C_0805_22pf";;;
7;"TP6,TP3,TP4,TP5,TP1,TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";6;"TestPoint";;;
8;"C2,C7,C6,C9,C1";"C_0805_2012Metric";5;"C_0805_0.1uf";;;
9;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
10;"Y1";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
11;"R1,R3,R11,R10";"R_0805_2012Metric";4;"R_0805_4.7K";;;
12;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
13;"U4";"DIP-24_W7.62mm";1;"MAX7219";;;
14;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
15;"R6";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"PhotoconductivePhotocell";;;
16;"C5";"C_0805_2012Metric";1;"C_0805_1uf";;;
17;"C8";"C_0805_2012Metric";1;"C_0805_10uf";;;
18;"R13";"R_0805_2012Metric";1;"R_0805_2.2K";;;
19;"U1";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
20;"Y2";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
21;"U2";"TO-252-2";1;"L7805";;;
22;"U3";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
23;"D1";"LED_0805_2012Metric";1;"LED_0805_GRN";;;
24;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
25;"R2";"R_0805_2012Metric";1;"R_0805_22K";;;
26;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
