Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Power_inlet_vertical","Wurth-694106402002",-4.456102,0.627047,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.770393,2.065893,90.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",2.890394,0.788661,0.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",3.050394,0.788661,0.000000,top
"C3","C_0805_22pf","C_0805_2012Metric",2.832677,0.211024,90.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",3.552756,0.214961,90.000000,top
"C5","C_0805_1uf","C_0805_2012Metric",5.226102,0.607047,0.000000,top
"C6","C_0805_0.1uf","C_0805_2012Metric",4.750394,1.208661,0.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",5.226102,0.737047,0.000000,top
"C8","C_0805_10uf","C_0805_2012Metric",4.610630,1.921654,0.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",4.607874,1.792913,0.000000,top
"D1","LED_0805_GRN","LED_0805_2012Metric",2.500394,0.148661,0.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.660394,2.018661,90.000000,top
"DS2","LED_Display_1001","Adafruit-1001-0-0-MFG",2.660394,2.833425,90.000000,top
"J1","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",1.266142,0.537992,180.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",5.250394,1.708661,0.000000,top
"J4","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",4.052559,0.558858,0.000000,top
"R1","R_0805_4.7K","R_0805_2012Metric",2.161024,0.863780,-90.000000,top
"R2","R_0805_22K","R_0805_2012Metric",4.401969,1.874016,-90.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",2.261417,0.859843,-90.000000,top
"R4","R_0805_10K","R_0805_2012Metric",3.423622,1.446457,-90.000000,top
"R5","R_0805_10K","R_0805_2012Metric",1.006693,1.138189,0.000000,top
"R6","PhotoconductivePhotocell","R_LDR_4.9x4.2mm_P2.54mm_Vertical",1.307480,1.933268,-90.000000,top
"R7","R_0805_100K","R_0805_2012Metric",1.306693,1.479528,-90.000000,top
"R8","R_0805_10K","R_0805_2012Metric",1.772441,1.207874,0.000000,top
"R9","R_0805_10K","R_0805_2012Metric",2.453543,1.189764,0.000000,top
"R10","R_0805_4.7K","R_0805_2012Metric",4.950000,1.311811,0.000000,top
"R11","R_0805_4.7K","R_0805_2012Metric",4.950394,1.408661,0.000000,top
"R12","R_0805_10K","R_0805_2012Metric",3.144488,1.198031,0.000000,top
"R13","R_0805_2.2K","R_0805_2012Metric",2.500394,0.268661,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.250394,1.308661,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.080394,1.108661,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.770394,1.098661,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.450394,1.098661,0.000000,top
"U1","DS1307_DIP-8","DIP-8_W7.62mm",1.640787,0.678268,0.000000,top
"U2","L7805","TO-252-2",4.900984,0.661614,180.000000,top
"U3","ATmega328-PU","DIP-28_W7.62mm",2.160787,0.399055,90.000000,top
"U4","MAX7219","DIP-24_W7.62mm",5.000591,2.368268,-90.000000,top
"Y1","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.520394,0.628661,-90.000000,top
"Y2","Crystal_16MHz","Crystal_SMD_HC49-SD",3.163780,0.211417,180.000000,top
